DW_CLIENTE;DW_TEMPO;DW_LOCALIDADE;vr_total_venda
017587d6627a3124edc9ab956b6e89dfec8d060256fad152f7ff64c4b2739b25;100858b13b6e7a7672005df36d44909a3c36cc8cc2e15fe895ef7f5c6bb38fc1;dde173b715bb5bd82335ad77229c61e2f6eb4a2db1f69a3d5542c08b2f281436;""
b58c6988db78b1600d43e5a5fb6fba5b5e097c5932f486bdabe1eef634a5ca50;a309388d7a1f1f119f34148771b061dda81241d2f90b6edf1ad1c8e91c0bdc29;4a39687b14ba3995df61ebc8ddbefdca1a88890f024d9e7f4ff15700de598247;3309.0
ef2bfd6088305341d8785a90771cb775f460a2acd77d3ea07694e53b139ed840;7880c449a59e8ffb48fd57396cd2480a99d3cc2cdb7cf3d27098539d83525e95;f1c72708d1118664cfc11b86616e382f6d26d2d3e508b1368c2cbd9bbb8dfbdc;645.0
9cfafdab05b3d494f9f91c6f3bcdfd12c64bab684e50f51624ccd7139413cee2;64bd36a9404e066966f18989c85a4682b4454301d4b2b2e2a199e17366542862;5b892eb31c909440dddca94d3e01213b5c44a4dd1035f013cdceb47a11d75f18;""
653cc994276af4c6cf8be274447863bb32d836977b5fcce88761c39bc6c2e510;8e985796c2587c02968c287710e4f3f8ec3963db34ffc4443b3dec8437797804;4f12398fa01761ca60b326df92021fe096db36b8a033b5ac6dd979ae5fcda223;1250.0
5f11df6469ed3f427134caa80ae1e240c2842d1ed732b4ac2156a496f3b85c92;5119f0dc03f8bf77ca3de9872ba630ac17461170bdf4fc0b87de36d954af7168;6bb57fbce7659d9185b314bc10ca1d5a74d3b9b198a737e9ded4d5a2a9bee0c5;44773.0
189fffb0e1be6b01eba87b22f4c7356117a0940d193d7f064f9c77277b1f24e1;351891d258cb685de9f0ba74c24c466b5fd764b4c62cd496acd44d240c34bf29;9bf02d729b07ffdd975068e88851f07c7194fee7528b9fc2a8f24d954921406a;5050.0
eff7c42572e0c3edda31e59ba3ad0695fa1d90a7d56149e5f25be634b9e561a3;9b49e639e3a26904b74c142d3898dbce6c2b56518b18bb6233552668ca0cef15;5a4a9317fc44e33a2f239dfd4a43b552742c05829a61c789d0169e0b9c370264;""
f211e75fd98c9452bf4097298df33c8666f853c26883e26feb90cced65f377d8;451506eb7c657a59f6cfdf5d3532034efe11d487e40e6ec88fe56bc690d32977;b4e6f5b416d7281042ae4ce4d449d2800865da72f65d3b522457dad339911869;5662.0
347767d34b77bc4d587769fe1098491c333d42c4d8c556f08dca1e7d31219781;226c49bda0a9ac205f61cd8b877b4b33e8c9a20d3209155b0b1ab5420bb0facd;47c2dda11cabbea90520288d8888c55fc14602e3f1fefa622e6e4433dcb51622;""
1602a34279949eaef25b4c0d59641e8a84a9696bce1defb4ecc1d734621fe7ed;9a8936b77df45fb9f54b35973879abf40b8a022cd63ad7be87896d532410c719;eee213de9c91dc561a63dc106ba3a7a1d734ef874e4d52816c2567a069f0e482;""
